📺收集线路,#genre#
黑龙江卫视,http://183.203.182.117:9616/hls/20/index.m3u8
黑龙江卫视,http://1304.hsmedia.top:8080/newlive/live/hls/33/live.m3u8
黑龙江卫视,http://1583.hsmedia.top:8080/newlive/live/hls/36/live.m3u8

山西卫视,http://42.179.40.167:9901/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://113.57.150.190:9000/tsfile/live/1009_1.m3u8
山西卫视,http://183.203.182.117:9616/hls/24/index.m3u8
山西卫视,http://171.213.36.94:8888/udp/239.93.0.6:5140

陕西卫视,http://171.213.36.94:8888/udp/239.93.0.176:5140
陕西卫视,http://42.179.40.167:9901/tsfile/live/1057_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://113.57.150.190:9000/tsfile/live/1013_1.m3u8
陕西卫视,http://183.203.182.117:9616/hls/28/index.m3u8
陕西卫视,http://222.85.207.79:9901/hls/40/index.m3u8

云南卫视,http://ys.rgood.xyz:8899/udp/239.253.43.37:5146
云南卫视,http://ys.rgood.xyz:8899/udp/239.253.43.100:5146
云南卫视,http://113.57.150.190:9000/tsfile/live/1010_1.m3u8
云南卫视,http://221.214.140.137:9901/tsfile/live/0119_1.m3u8
云南卫视,http://171.213.36.94:8888/udp/239.93.0.174:5140

贵州卫视,http://ys.rgood.xyz:8899/udp/239.77.1.221:5146
贵州卫视,http://ys.rgood.xyz:8899/udp/239.77.0.230:5146
贵州卫视,http://171.213.36.94:8888/udp/239.93.0.131:5140
贵州卫视,http://113.57.150.190:9000/tsfile/live/1011_1.m3u8
贵州卫视,http://183.203.182.117:9616/hls/39/index.m3u8
贵州卫视,http://1583.hsmedia.top:8080/newlive/live/hls/42/live.m3u8

青海卫视,http://113.57.150.190:9000/tsfile/live/1014_1.m3u8

青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
青海卫视,http://183.203.182.117:9616/hls/33/index.m3u8
青海卫视,http://171.213.36.94:8888/udp/239.93.0.192:5140


内蒙古卫视,http://183.203.182.117:9616/hls/21/index.m3u8
内蒙古卫视,http://222.85.207.79:9901/hls/44/index.m3u8
内蒙古卫视,http://42.179.40.167:9901/tsfile/live/1058_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://171.213.36.94:8888/udp/239.93.0.8:5140

甘肃卫视,http://ys.rgood.xyz:8899/udp/239.77.0.189:5146
甘肃卫视,http://171.213.36.94:8888/udp/239.93.0.81:5140
甘肃卫视,http://183.203.182.117:9616/hls/29/index.m3u8
甘肃卫视,http://42.179.40.167:9901/tsfile/live/1062_1.m3u8?key=txiptv&playlive=1&authid=0


青海经视,http://stream.qhbtv.com/qhsh/playlist.m3u8
青海都市,http://stream.qhbtv.com/qhds/playlist.m3u8

